,,,,,,,Community Name,,,,,Zip Code,,,,,,ano|mes|dia,,subsidiary company,,,,,
FILE,post_title,post_author,post_status,CF: activity,CF: calculate_profit_,CF: job_location_city,CF: job_location_community,CF: job_location_country,CF: job_location_jobsite_address,CF: job_location_lot_number,CF: job_location_state,CF: job_location_state_zip,CF: job_type,CF: trade,RF: labor,RF: labor_service,RF: labor_quantity,CF: order_date,CF: stake_holders_builder,CF: stake_holders_company,CF: stake_holders_ilg_field_manager,CF: stake_holders_sts_supervisor,CF: stake_holders_subcontractors,CF: wo_number,CF: IMG_URL
sts/img21.jpg,4518488,admin,publish,,calculate profit,CONCORD,VILLAGE AT SKYBRK NTH,USA,1457 COFFEETREE DR NW,449,NC,28027,Repair,Wood,1,3448,1,20190906,DR Horton Charlotte,STS Floors,Ben Bailey,Pedro Brito,-- Choose Subcontractor --,4518488,https://stshardwood.com/wp-content/uploads/2019/07/4518488.jpg
sts/img18.jpg,4527417,admin,publish,,calculate profit,INDIAN LAND,BENT CREEK CAROLINAS,USA,4034 BRANDYWINE TERRACE,35,SC,29707,Repair,Wood,1,3448|3510,1|2,20190906,Toll Bros. Homes,STS Floors,Cameron Wood,Pedro Brito,-- Choose Subcontractor --,4527417,https://stshardwood.com/wp-content/uploads/2019/07/4527417.jpg
ko/img2.jpg,4528393,admin,publish,,calculate profit,CHARLOTTE,THE RETREAT AT BALLANTYNE,USA,11510 CLEMS BRANCH DR,12,NC,28277,Installation,Wood,1,3514,1,20190906,Meritage Homes,KO Flooring,Bobby Hawkins,Pedro Brito,-- Choose Subcontractor --,4528393,https://stshardwood.com/wp-content/uploads/2019/07/4528393.jpg
sts/img19.jpg,4530793,admin,publish,,calculate profit,INDIAN LAND,BENT CREEK CAROLINAS,USA,4034 BRANDYWINE TERRACE,35,SC,29707,Repair,Wood,1,5927,1,20190906,Toll Bros. Homes,STS Floors,Cameron Wood,Pedro Brito,-- Choose Subcontractor --,4530793,https://stshardwood.com/wp-content/uploads/2019/07/4530793.jpg
sts/img20.jpg,4530945,admin,publish,,calculate profit,FORT MILL,MERRITT MEADOWS,USA,455 TWELVE OAKS LANE,4300,SC,29708,Repair,Wood,1,5927,1,20190906,Pulte Homes,STS Floors,Stephan Gray,Pedro Brito,-- Choose Subcontractor --,4530945,https://stshardwood.com/wp-content/uploads/2019/07/4530945.jpg
sts/img17.jpg,4531798,admin,publish,,calculate profit,FORT MILL,MCCULLOUGH SC SE,USA,8829 GLADDEN HILL LANE,2100,SC,29715,Repair,Wood,1,5927,1,20190906,Pulte Homes,STS Floors,Stephan Gray,Pedro Brito,-- Choose Subcontractor --,4531798,https://stshardwood.com/wp-content/uploads/2019/07/4531798.jpg
sts/img16.jpg,4532001,admin,publish,,calculate profit,HUNTERSVILLE,OLMSTEAD OVERLOOK,USA,7015 BROOKLINE PLACE,19400,NC,28078,Repair,Wood,1,5927,1,20190906,Pulte Homes,STS Floors,Ben Bailey,Pedro Brito,-- Choose Subcontractor --,4532001,https://stshardwood.com/wp-content/uploads/2019/07/4532001.jpg
sts/img24.jpg,4533641,admin,publish,,calculate profit,HUNTERSVILLE,BRYTON TRACE,USA,12607 CHANTREY WAY,44,NC,28078,Repair,Wood,1,3448|3510,1|25,20190906,Lennar Homes,STS Floors,Rob Howard,Pedro Brito,-- Choose Subcontractor --,4533641,https://stshardwood.com/wp-content/uploads/2019/07/4533641.jpg
sts/img34.jpg,8346378,admin,publish,,calculate profit,FORT MILL,AVONDALE 70S,USA,9214 VECCHIO DR,1014,SC,29707,Installation,Wood,1,3514,1,20190906,DR Horton Charlotte,STS Floors,Mandy McCarter,Pedro Brito,-- Choose Subcontractor --,8346378,https://stshardwood.com/wp-content/uploads/2019/07/8346378.jpg
